crop,variety,state,quantity,production,season,cost,recommended_zone
Maize,Mch 36 (Hybrid) (Dkc 9099),Karnataka,160.5,249.6,99,20671.54,"Karnataka, Tamil Nadu And Maharashtra In Kharif Season Under Irrigated And Rainfed Conditions."
Maize,Dhm 119 (Bh 4062),Karnataka,160.5,249.6,Unknown,20671.54,"Andhra Pradesh, Maharashtra, Tamil Nadu And Karnataka In Kharif Season."
Maize,Hqpm-4,Rajasthan,160.5,249.6,95,19810.29,"Punjab, Haryana, Delhi, West And Central Up, Bihar, Jharkhand, Orissa, Eastern Up, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh Under Kharif Season."
Maize,Pmh 5 (Jh 3110),Rajasthan,160.5,249.6,Unknown,19810.29,"Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh In Kharif Season Under Both Irrigated And Rainfed Condition."
Maize,Pmh 4 (Jh 31153),Uttar Pradesh,160.5,249.6,Unknown,21045.11,"Punjab, Haryana, Delhi And Western Uttar Pradesh Under Irrigated Condition."
Maize,Hqpm-4,Andhra Pradesh,160.5,249.6,95,37801.85,"Punjab, Haryana, Delhi, West And Central Up, Bihar, Jharkhand, Orissa, Eastern Up, Andhra Pradesh, Karnataka, Tamilnadu, Maharashtra, Rajasthan, Madhya Pradesh, Gujarat And Chhattisgarh Under Kharif Season."
Maize,Dhm 119 (Bh 4062),Andhra Pradesh,160.5,249.6,Unknown,37801.85,"Andhra Pradesh, Maharashtra, Tamil Nadu And Karnataka In Kharif Season."
Gram,Ujjawal (Ipck2004-29),Rajasthan,123.1,127.6,103-111,12610.85,"Mp, South Rajasthan, Chhattisgarh, Maharashtra, Gujarat, Bundelkhand Region Of Up Under Irrigated Conditions During Rabi Season."
Gram,Pkv Kabuli-4,Madhya Pradesh,123.1,127.6,110,16873.17,"Maharashtra, Madhya Pradesh Under Irrigated Conditions."
Gram,Ujjawal (Ipck2004-29),Uttar Pradesh,123.1,127.6,103-111,21618.43,"Mp, South Rajasthan, Chhattisgarh, Maharashtra, Gujarat, Bundelkhand Region Of Up Under Irrigated Conditions During Rabi Season."
Gram,Ujjawal (Ipck2004-29),Maharashtra,123.1,127.6,103-111,18679.33,"Mp, South Rajasthan, Chhattisgarh, Maharashtra, Gujarat, Bundelkhand Region Of Up Under Irrigated Conditions During Rabi Season."
Gram,Pkv Kabuli-4,Maharashtra,123.1,127.6,110,18679.33,"Maharashtra, Madhya Pradesh Under Irrigated Conditions."
Gram,Mnk-1,Andhra Pradesh,123.1,127.6,Unknown,26762.09,"Karnataka, Andhra Pradesh, Orissa And Tamil Nadu In Normal Sown Rainfed As Well As Irrigated Condition."
Tur,Unknown,Uttar Pradesh,104.3,128.9,Unknown,23076.74,Unknown
Tur,Unknown,Karnataka,104.3,128.9,Unknown,16528.68,Unknown
Tur,Unknown,Gujarat,104.3,128.9,Unknown,19551.9,Unknown
Tur,Unknown,Andhra Pradesh,104.3,128.9,Unknown,24171.65,Unknown
Tur,Unknown,Maharashtra,104.3,128.9,Unknown,25270.26,Unknown
Groundnut,Kadiri Harithandhra (K 1319),Karnataka,139.1,217.5,122,17314.2,Karnataka And Maharashtra Under Timely Sown Irrigated Condition In Rabi And Summer Season.
Groundnut,Girnar - 3 (Pbs 12160),Andhra Pradesh,139.1,217.5,108,30434.61,"West Bengal, Orissa And Manipur Under Kharif Rainfed Condition."
Groundnut,Girnar - 3 (Pbs 12160),Tamil Nadu,139.1,217.5,108,30393.66,"West Bengal, Orissa And Manipur Under Kharif Rainfed Condition."
Groundnut,Girnar - 3 (Pbs 12160),Gujarat,139.1,217.5,108,30114.45,"West Bengal, Orissa And Manipur Under Kharif Rainfed Condition."
